2020-05-08 10:00:33 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 10:00:33 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 10:30:02 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 11:00:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 11:00:12 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 11:30:02 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 12:00:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 12:30:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 13:00:11 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 13:30:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 14:00:02 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 14:00:02 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 14:00:13 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 14:00:13 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 14:00:13 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 14:00:23 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 14:30:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 14:30:12 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 14:30:23 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 16:00:12 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 16:00:12 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 16:00:12 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
2020-05-08 16:00:22 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 16:00:33 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 16:00:43 Fri , ERROR , getNewsData.py getAllNews line 81 , error
2020-05-08 17:30:02 Fri , INFO , getNewsData.py getAllNews line 76 , 添加成功
